CNPJ_Fundo,Data_Referencia,Versao,Endereco,Outras_Caracteristicas_Relevantes,Area,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL
00.613.094/0001-74,2019-09-30,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote 12 (Setor 7)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 17/08/2004, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Cyrela Vermont de Investimentos Imobiliários ""Cyrela"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela Cyrela, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",24186.75,0.0895118270486464,0.345391372723901
00.613.094/0001-74,2019-12-31,1,"Rua Itapaiuna, s/n Lote 11 Gleba A (Setor 8)","(i) o Fundo possui 100% do imóvel conforme Escritura de Compra e Venda firmada em 14/03/1995. Até 31/12/2016, o terreno encontrava-se no estoque do Fundo (ii) não há ônus ou garantias que recaiam sobre os terrenos (iii) o terreno foi adquirido em sua totalidade pelo Fundo e não há nenhum acordo dispondo sobre a constituição da propriedade em comum e repartição dos futuros rendimentos por ela gerados (iv) não há prazo acordado para conclusão de um empreendimento.",2250.0,0.0083269397856038,0.0
00.613.094/0001-74,2019-12-31,1,"Rua Itapaiuna, s/n Lote 1 Gleba A (Setor 8)","(i) o Fundo possui 100% do imóvel conforme Escritura de Compra e Venda firmada em 14/03/1995. Até 31/12/2016, o terreno encontrava-se no estoque do Fundo (ii) não há ônus ou garantias que recaiam sobre os terrenos (iii) o terreno foi adquirido em sua totalidade pelo Fundo e não há nenhum acordo dispondo sobre a constituição da propriedade em comum e repartição dos futuros rendimentos por ela gerados (iv) não há prazo acordado para conclusão de um empreendimento.",17800.0,0.065875345859444,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote A6 Gleba A (Setor 6A)","(i) o Fundo possui 100% do imóvel conforme Escritura de Compra e Venda firmada em 14/03/1995. Até 31/12/2016, o terreno encontrava-se no estoque do Fundo (ii) não há ônus ou garantias que recaiam sobre os terrenos (iii) o terreno foi adquirido em sua totalidade pelo Fundo e não há nenhum acordo dispondo sobre a constituição da propriedade em comum e repartição dos futuros rendimentos por ela gerados (iv) não há prazo acordado para conclusão de um empreendimento.",11401.42,0.0421950834712799,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote 10 Gleba A (Setor 6A)","(i) o Fundo possui 100% do imóvel conforme Escritura de Compra e Venda firmada em 14/03/1995. Até 31/12/2016, o terreno encontrava-se no estoque do Fundo (ii) não há ônus ou garantias que recaiam sobre os terrenos (iii) o terreno foi adquirido em sua totalidade pelo Fundo e não há nenhum acordo dispondo sobre a constituição da propriedade em comum e repartição dos futuros rendimentos por ela gerados (iv) não há prazo acordado para conclusão de um empreendimento.",15000.0,0.0555129319040258,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote A2 Gleba A (Setores 1 e 6B)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 14/06/2006, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Camargo Correa Desenvolvimento Imobiliário ""CCDI"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela CCDI, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",19989.82,0.0739795677622489,0.0
00.613.094/0001-74,2019-12-31,1,"Av. D. Helena P. de Moraes, s/n Lote A3 Gleba A (Setores 1 e 6B)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 14/06/2006, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Camargo Correa Desenvolvimento Imobiliário ""CCDI"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela CCDI, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",18104.64,0.0670027764977935,0.0
00.613.094/0001-74,2019-12-31,1,"Av. D. Helena P. de Moraes, s/n Lote A4 Gleba A (Setores 1 e 6B)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 14/06/2006, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Camargo Correa Desenvolvimento Imobiliário ""CCDI"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela CCDI, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",15747.13,0.0582779570249228,0.0
00.613.094/0001-74,2019-12-31,1,"Rua Itapaiuna, s/n Lote A5 Gleba A (Setores 1 e 6B)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 14/06/2006, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Camargo Correa Desenvolvimento Imobiliário ""CCDI"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela CCDI, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",19962.81,0.0738796074762004,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote 6 (Setor 7)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 17/08/2004, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Cyrela Vermont de Investimentos Imobiliários ""Cyrela"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela Cyrela, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",9999.95,0.0370084362262442,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote 7 (Setor 7)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 17/08/2004, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Cyrela Vermont de Investimentos Imobiliários ""Cyrela"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela Cyrela, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",7480.22,0.0276832628991421,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote 8 (Setor 7)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 17/08/2004, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Cyrela Vermont de Investimentos Imobiliários ""Cyrela"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela Cyrela, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",6537.16,0.0241931278617148,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote 9 (Setor 7)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 17/08/2004, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Cyrela Vermont de Investimentos Imobiliários ""Cyrela"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela Cyrela, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",5715.56,0.0211524995382249,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote 10 (Setor 7)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 17/08/2004, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Cyrela Vermont de Investimentos Imobiliários ""Cyrela"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela Cyrela, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",6326.36,0.0234129861253569,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote 11 (Setor 7)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 17/08/2004, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Cyrela Vermont de Investimentos Imobiliários ""Cyrela"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela Cyrela, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",7358.31,0.0272320907972475,0.0
00.613.094/0001-74,2019-12-31,1,"Av. Maj Sylvio de Magalhães Padilha, s/n Lote 12 (Setor 7)","(i) o Fundo possui 100% do terreno conforme Escritura de Compra e Venda firmada em 14/03/1995. Em 17/08/2004, foi firmada uma Escritura de Promessa de Compra e Venda Sob Condições Suspensivas entre o Fundo (Vendedor) e a Cyrela Vermont de Investimentos Imobiliários ""Cyrela"" (Compradora) (ii) não há ônus ou garantias que recaiam sobre o terreno (iii) quando do ""habite-se"" do empreendimento a ser desenvolvido pela Cyrela, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida (iv) não há prazo acordado para conclusão do empreendimento.",24186.75,0.0895118270486464,0.0
00.868.235/0001-08,2019-03-31,1,"Avenida Soledade, 569 - Porto Alegre/RS",Terreno,3950.0,1.0,0.0
00.868.235/0001-08,2019-06-30,1,"Avenida Soledade, 569 - Porto Alegre/RS",Terreno,3950.0,1.0,0.0
00.868.235/0001-08,2019-09-30,1,"Avenida Soledade, 569 - Porto Alegre/RS",Terreno,3950.0,1.0,0.0
00.868.235/0001-08,2019-12-31,1,"Avenida Soledade, 569 - Porto Alegre/RS",Terreno,3950.0,1.0,0.0
01.235.622/0001-61,2019-03-29,3,Rodovia Darly Santos - Vila Velha - ES,Green Village,477000.0,0.749012,0.096072
01.235.622/0001-61,2019-03-29,3,Av. Vereador Hermínio Moreira - Itaboraí RJ,Itaboraí,20000.0,0.0314051240399391,0.002691209121589
01.235.622/0001-61,2019-03-29,3,"Rua Nutas James, 877 - RJ",We-Barra,7970.0,0.0125149419299157,0.0930652325070905
01.235.622/0001-61,2019-03-29,3,"Avenida Presidente Vargas, Centro - RJ",Orbit,1102.0,0.0017304223346006,0.122434979012065
01.235.622/0001-61,2019-03-29,3,"Rua das Marrecas nº 11 e 13, Centro, Rio de Janeiro - RJ",Marrecas 11 e 13,551.0,0.0008652111673003,0.0134600863167372
01.235.622/0001-61,2019-03-29,3,"Gleba III da Rua de Acesso 2º Seguimento (Rua Projetada), em São Domingos, Niterói - RJ",Parque Gragoatá,9466.0,0.0148640452081032,0.0060938323607897
01.235.622/0001-61,2019-03-29,3,"Avenida Lauro Sodré n° 150, esquina com a Rua General Góis Monteiro, onde recebeo n° 125, com frente para a Rua General Severiano n° 201, na quadra formada por essasruas e a Rua da Passagem.",Quadrilátero - Botafogo,11409.0,0.0179150530085832,0.179546534684578
